UserID,No. Of Movies Rated,Average Rating
1,53,4.188679245283019
2,129,3.7131782945736433
3,51,3.9019607843137254
4,21,4.190476190476191
5,198,3.1464646464646466
6,71,3.9014084507042255
7,31,4.32258064516129
8,139,3.884892086330935
9,106,3.7358490566037736
10,401,4.114713216957606
11,137,3.2773722627737225
12,23,3.8260869565217392
13,108,3.388888888888889
14,25,3.32
15,201,3.3233830845771144
16,35,3.0285714285714285
17,211,4.075829383886256
18,305,3.6491803278688524
19,255,3.5725490196078433
20,24,4.083333333333333
21,22,2.909090909090909
22,297,3.0673400673400675
23,304,3.3157894736842106
24,136,3.948529411764706
25,85,3.7411764705882353
26,400,2.96
27,70,4.171428571428572
28,107,3.7570093457943927
29,108,3.5833333333333335
30,43,3.488372093023256
31,119,3.73109243697479
32,48,3.625
33,391,3.498721227621483
34,164,3.8658536585365852
35,198,3.54040404040404
36,351,4.199430199430199
37,53,3.69811320754717
38,100,3.58
39,62,3.564516129032258
40,96,3.4479166666666665
41,25,3.48
42,231,3.74025974025974
43,24,4.125
44,193,3.6321243523316062
45,297,2.946127946127946
46,41,4.219512195121951
47,22,3.909090909090909
48,598,3.068561872909699
49,108,3.712962962962963
50,43,3.0697674418604652
51,40,3.825
52,79,3.5569620253164556
53,684,4.2368421052631575
54,40,4.025
55,25,4.12
56,67,3.970149253731343
57,64,2.90625
58,437,3.9725400457665905
59,213,3.4741784037558685
60,70,3.414285714285714
61,36,2.7777777777777777
62,498,3.566265060240964
63,98,3.4285714285714284
64,27,4.148148148148148
65,121,4.347107438016529
66,26,3.8461538461538463
67,64,4.296875
68,72,3.75
69,65,4.153846153846154
70,54,3.7037037037037037
71,29,3.7586206896551726
72,43,3.697674418604651
73,255,3.364705882352941
74,43,4.046511627906977
75,175,4.005714285714285
76,87,4.172413793103448
77,39,2.948717948717949
78,140,3.657142857142857
79,31,3.6451612903225805
80,48,3.8958333333333335
81,86,4.4186046511627906
82,118,4.016949152542373
83,99,3.5757575757575757
84,31,3.838709677419355
85,39,3.1025641025641026
86,48,4.3125
